,open,close,high,low,volume
2024-11-22 09:30:00,69.95,69.95,69.95,69.95,311.0
2024-11-22 09:31:00,69.94,69.89,69.94,69.71,924.0
2024-11-22 09:32:00,69.86,69.79,69.86,69.7,1136.0
2024-11-22 09:33:00,69.79,69.7,69.8,69.69,772.0
2024-11-22 09:34:00,69.69,69.8,69.86,69.62,953.0
2024-11-22 09:35:00,69.79,69.8,69.86,69.75,477.0
2024-11-22 09:36:00,69.8,69.87,69.87,69.77,485.0
2024-11-22 09:37:00,69.86,69.76,69.86,69.76,316.0
2024-11-22 09:38:00,69.76,69.8,69.85,69.76,782.0
2024-11-22 09:39:00,69.78,69.66,69.78,69.65,1248.0
2024-11-22 09:40:00,69.68,69.61,69.72,69.61,1002.0
2024-11-22 09:41:00,69.61,69.69,69.69,69.61,747.0
2024-11-22 09:42:00,69.68,69.71,69.76,69.68,724.0
2024-11-22 09:43:00,69.7,69.75,69.8,69.7,361.0
2024-11-22 09:44:00,69.71,69.81,69.86,69.71,573.0
2024-11-22 09:45:00,69.8,69.72,69.8,69.72,357.0
2024-11-22 09:46:00,69.72,69.72,69.79,69.7,543.0
2024-11-22 09:47:00,69.73,69.85,69.88,69.73,651.0
2024-11-22 09:48:00,69.85,69.85,69.86,69.85,368.58
2024-11-22 09:49:00,69.85,69.85,69.86,69.81,1038.42
2024-11-22 09:50:00,69.85,69.82,69.85,69.8,431.0
2024-11-22 09:51:00,69.82,69.9,69.94,69.82,527.0
2024-11-22 09:52:00,69.89,69.89,69.92,69.88,357.0
2024-11-22 09:53:00,69.88,69.83,69.88,69.83,140.0
2024-11-22 09:54:00,69.84,69.8,69.84,69.8,267.0
2024-11-22 09:55:00,69.79,69.72,69.79,69.71,339.0
2024-11-22 09:56:00,69.72,69.71,69.74,69.71,419.0
2024-11-22 09:57:00,69.71,69.71,69.73,69.71,162.0
2024-11-22 09:58:00,69.71,69.67,69.72,69.65,1136.0
2024-11-22 09:59:00,69.66,69.62,69.66,69.57,1200.0
2024-11-22 10:00:00,69.64,69.84,69.84,69.62,1558.0
2024-11-22 10:01:00,69.79,69.88,69.9,69.79,1029.02
2024-11-22 10:02:00,69.84,69.88,69.88,69.82,445.0
2024-11-22 10:03:00,69.88,69.86,69.94,69.86,459.0
2024-11-22 10:04:00,69.86,70.05,70.05,69.86,2152.0
2024-11-22 10:05:00,70.08,70.17,70.17,69.99,1287.0
2024-11-22 10:06:00,70.16,70.29,70.29,70.16,1888.0
2024-11-22 10:07:00,70.33,70.24,70.37,70.2,2088.0
2024-11-22 10:08:00,70.24,70.17,70.24,70.14,977.0
2024-11-22 10:09:00,70.17,70.1,70.17,70.09,1026.0
2024-11-22 10:10:00,70.06,69.92,70.06,69.9,2711.0
2024-11-22 10:11:00,69.91,69.86,69.93,69.85,1370.0
2024-11-22 10:12:00,69.9,69.84,69.9,69.81,763.0
2024-11-22 10:13:00,69.87,69.77,69.87,69.76,1121.0
2024-11-22 10:14:00,69.81,69.77,69.82,69.76,710.0
2024-11-22 10:15:00,69.78,69.82,69.82,69.78,457.0
2024-11-22 10:16:00,69.82,69.82,69.84,69.8,274.0
2024-11-22 10:17:00,69.79,69.74,69.79,69.73,649.0
2024-11-22 10:18:00,69.73,69.84,69.89,69.73,704.0
2024-11-22 10:19:00,69.84,69.83,69.85,69.8,152.0
2024-11-22 10:20:00,69.83,69.81,69.85,69.8,479.0
2024-11-22 10:21:00,69.83,69.79,69.83,69.79,280.0
2024-11-22 10:22:00,69.81,69.79,69.85,69.79,607.0
2024-11-22 10:23:00,69.78,69.75,69.78,69.71,789.0
2024-11-22 10:24:00,69.72,69.67,69.72,69.66,662.0
2024-11-22 10:25:00,69.66,69.75,69.77,69.66,446.0
2024-11-22 10:26:00,69.75,69.7,69.75,69.69,391.0
2024-11-22 10:27:00,69.7,69.74,69.78,69.69,576.0
2024-11-22 10:28:00,69.77,69.78,69.79,69.76,237.0
2024-11-22 10:29:00,69.79,69.84,69.87,69.79,294.0
2024-11-22 10:30:00,69.83,69.84,69.87,69.83,236.0
2024-11-22 10:31:00,69.84,69.82,69.85,69.82,195.0
2024-11-22 10:32:00,69.82,69.79,69.84,69.75,517.0
2024-11-22 10:33:00,69.75,69.72,69.76,69.7,212.0
2024-11-22 10:34:00,69.7,69.7,69.72,69.69,311.0
2024-11-22 10:35:00,69.69,69.68,69.7,69.67,324.0
2024-11-22 10:36:00,69.8,69.82,69.82,69.72,230.0
2024-11-22 10:37:00,69.83,69.83,69.89,69.8,293.0
2024-11-22 10:38:00,69.86,69.76,69.86,69.76,213.0
2024-11-22 10:39:00,69.76,69.87,69.87,69.76,209.0
2024-11-22 10:40:00,69.87,69.91,69.91,69.86,299.0
2024-11-22 10:41:00,69.93,69.94,69.96,69.87,345.0
2024-11-22 10:42:00,69.88,69.88,69.94,69.87,153.0
2024-11-22 10:43:00,69.88,69.87,69.89,69.87,169.0
2024-11-22 10:44:00,69.88,69.91,69.93,69.87,442.0
2024-11-22 10:45:00,69.91,69.96,69.97,69.91,227.0
2024-11-22 10:46:00,69.96,69.91,69.97,69.91,176.0
2024-11-22 10:47:00,69.91,69.97,69.97,69.91,251.0
2024-11-22 10:48:00,69.97,70.05,70.09,69.97,840.0
2024-11-22 10:49:00,70.05,70.0,70.05,69.9,273.0
2024-11-22 10:50:00,70.0,69.99,70.0,69.97,109.0
2024-11-22 10:51:00,69.99,69.99,69.99,69.94,458.0
2024-11-22 10:52:00,69.99,69.91,69.99,69.91,206.0
2024-11-22 10:53:00,69.92,69.95,69.97,69.92,129.0
2024-11-22 10:54:00,69.95,69.88,69.96,69.88,175.0
2024-11-22 10:55:00,69.88,69.87,69.88,69.86,110.0
2024-11-22 10:56:00,69.88,69.87,69.88,69.85,125.0
2024-11-22 10:57:00,69.86,69.84,69.86,69.83,194.0
2024-11-22 10:58:00,69.85,69.83,69.85,69.82,129.0
2024-11-22 10:59:00,69.85,69.82,69.85,69.79,274.0
2024-11-22 11:00:00,69.82,69.82,69.85,69.81,126.0
2024-11-22 11:01:00,69.82,69.8,69.82,69.8,138.0
2024-11-22 11:02:00,69.79,69.84,69.86,69.79,279.0
2024-11-22 11:03:00,69.81,69.78,69.86,69.78,283.0
2024-11-22 11:04:00,69.78,69.78,69.78,69.77,137.0
